SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-9-1,2350974,drink,a{SPACE}boy{SPACE}is{SPACE}leaning{SPACE}next{SPACE}to{SPACE}a{SPACE}red{SPACE}car{SPACE}drinking{SPACE}something{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{SPACE}there{SPACE}is{SPACE}something{SPACE}next{SPACE}to{SPACE}him{SPACE}on{SPACE}the{SPACE}left{SPACE}side{SPACE}of{SPACE}the{SPACE}screen{.}{ENTER},38169,11
Encode-Decode_Experiment-9-1,2409918,elephant,there{SPACE}are{SPACE}two{SPACE}elephants{SPACE}with{SPACE}two{SPACE}men{SPACE}on{SPACE}their{SPACE}backs{.}{SPACE}they{SPACE}are{SPACE}in{SPACE}what{SPACE}looks{SPACE}like{SPACE}a{SPACE}jungle{SPACE}and{SPACE}both{SPACE}elephants{SPACE}and{SPACE}men{SPACE}are{SPACE}in{SPACE}a{SPACE}lake{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{SPACE}both{SPACE}men{SPACE}have{SPACE}dark{SPACE}hair{SPACE}and{SPACE}are{SPACE}not{SPACE}wearing{SPACE}shirts{ENTER},49888,12
Encode-Decode_Experiment-9-1,2371471,motorcycle,{ENTER},34483,13
Encode-Decode_Experiment-9-1,2362704,bears,there{SPACE}are{SPACE}two{SPACE}bears{-}both{SPACE}are{SPACE}brown{.}{SPACE}they{SPACE}are{SPACE}eating{SPACE}pumpkins{.}{SPACE}one{SPACE}is{SPACE}closer{SPACE}to{SPACE}the{SPACE}front{SPACE}than{SPACE}the{SPACE}other{.}{SPACE}the{SPACE}pumpkins{SPACE}have{SPACE}lots{SPACE}of{SPACE}seeds{SPACE}in{SPACE}them{.}{SPACE}it{SPACE}is{SPACE}daytime{ENTER},55846,14
Encode-Decode_Experiment-9-1,2345035,football,there{SPACE}are{SPACE}two{SPACE}girls{.}{SPACE}one{SPACE}girl{SPACE}has{SPACE}the{SPACE}number{SPACE}9{SPACE}on{SPACE}the{SPACE}back{SPACE}of{SPACE}her{SPACE}shirt{.}{SPACE}one{SPACE}shirt{SPACE}is{SPACE}blue{SPACE}and{SPACE}one{SPACE}shirt{SPACE}is{SPACE}white{.}{SPACE}the{SPACE}girl{SPACE}with{SPACE}the{SPACE}number{SPACE}9{SPACE}is{SPACE}on{SPACE}the{SPACE}right{SPACE}side{SPACE}of{SPACE}the{SPACE}photo{.}{SPACE}one{SPACE}of{SPACE}the{SPACE}girls{SPACE}has{SPACE}blone{SPACE}hair{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}chasing{SPACE}a{SPACE}football{.}{SPACE}in{SPACE}the{SPACE}background{SPACE}is{SPACE}grass{SPACE}and{SPACE}a{SPACE}football{SPACE}goal{ENTER},64651,15
Encode-Decode_Experiment-9-1,2397102,cake,a{SPACE}couple{SPACE}who{SPACE}seem{SPACE}to{SPACE}be{SPACE}just{SPACE}married{SPACE}are{SPACE}both{SPACE}holding{SPACE}a{SPACE}knife{SPACE}through{SPACE}a{SPACE}cake{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}in{SPACE}white{SPACE}and{SPACE}the{SPACE}man{SPACE}is{SPACE}in{SPACE}a{SPACE}suit{.}{SPACE}it{SPACE}is{SPACE}nighttime{.}{SPACE}the{SPACE}woman{SPACE}has{SPACE}light{SPACE}hair{SPACE}and{SPACE}the{SPACE}man{SPACE}has{SPACE}dark{SPACE}hair{.}{SPACE}the{SPACE}cake{SPACE}is{SPACE}a{SPACE}light{SPACE}yellow{SPACE}colour{SPACE}with{SPACE}coloured{SPACE}writing{SPACE}on{SPACE}it{SPACE}{ENTER},74663,16
Encode-Decode_Experiment-9-1,2408717,surfboard,there{SPACE}are{SPACE}4{SPACE}people{SPACE}walking{SPACE}towards{SPACE}the{SPACE}ocean{.}{SPACE}the{SPACE}2{SPACE}people{SPACE}on{SPACE}the{SPACE}right{SPACE}side{SPACE}of{SPACE}the{SPACE}photo{SPACE}have{SPACE}green{SPACE}surfboards{SPACE}and{SPACE}the{SPACE}people{SPACE}on{SPACE}the{SPACE}left{SPACE}side{SPACE}have{SPACE}white{SPACE}surfboards{SPACE}with{SPACE}brown{SPACE}patterns{SPACE}on{SPACE}them{.}{SPACE}it{SPACE}is{SPACE}daytime{ENTER},57115,17
Encode-Decode_Experiment-9-1,2348899,tie,"there{SPACE}are{SPACE}4{SPACE}people{SPACE}in{SPACE}the{SPACE}photo{.}{SPACE}2{SPACE}men{SPACE}are{SPACE}on{SPACE}the{SPACE}left{,}{SPACE}1{SPACE}man{SPACE}is{SPACE}in{SPACE}the{SPACE}middle{SPACE}and{SPACE}a{SPACE}woman{SPACE}is{SPACE}on{SPACE}the{SPACE}right{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}touching{SPACE}a{SPACE}pink{SPACE}and{SPACE}white{SPACE}striped{SPACE}tie{SPACE}that{SPACE}is{SPACE}around{SPACE}the{SPACE}neck{SPACE}of{SPACE}the{SPACE}man{SPACE}in{SPACE}the{SPACE}middle{.}{SPACE}the{SPACE}tie{SPACE}is{SPACE}undone{.}{SPACE}they{SPACE}are{SPACE}at{SPACE}a{SPACE}party{SPACE}and{SPACE}its{SPACE}night{SPACE}time{ENTER}",81253,18
Encode-Decode_Experiment-9-1,2360001,clock,there{SPACE}are{SPACE}a{SPACE}group{SPACE}of{SPACE}men{SPACE}lifting{SPACE}a{SPACE}clock{SPACE}upwards{.}{SPACE}the{SPACE}clock{SPACE}is{SPACE}very{SPACE}large{.}{SPACE}the{SPACE}photo{SPACE}is{SPACE}in{SPACE}black{SPACE}and{SPACE}white{.}{SPACE}they{SPACE}are{SPACE}on{SPACE}a{SPACE}busy{SPACE}street{SPACE}with{SPACE}a{SPACE}white{SPACE}buildings{SPACE}on{SPACE}it{.}{SPACE}the{SPACE}photo{SPACE}seems{SPACE}to{SPACE}be{SPACE}from{SPACE}the{SPACE}early{SPACE}1900s{ENTER},73281,19
Encode-Decode_Experiment-9-1,2344622,cat,there{SPACE}is{SPACE}a{SPACE}cat{SPACE}curled{SPACE}up{SPACE}on{SPACE}a{SPACE}blue{SPACE}blanket{SPACE}next{SPACE}to{SPACE}a{SPACE}keyboard{.}{SPACE}the{SPACE}cat{SPACE}is{SPACE}white{SPACE}and{SPACE}brown{.}{SPACE}the{SPACE}keyboard{SPACE}is{SPACE}black{ENTER},35668,20
Encode-Decode_Experiment-9-1,2347025,umbrella,there{SPACE}is{SPACE}a{SPACE}child{SPACE}on{SPACE}the{SPACE}back{SPACE}of{SPACE}a{SPACE}woman{.}{SPACE}the{SPACE}child{SPACE}is{SPACE}carrying{SPACE}the{SPACE}umberella{SPACE}over{SPACE}them{SPACE}both{.}{SPACE}one{SPACE}of{SPACE}the{SPACE}people{SPACE}has{SPACE}a{SPACE}fringe{SPACE}and{SPACE}they{SPACE}both{SPACE}have{SPACE}dark{SPACE}hair{.}{SPACE}{ENTER},47456,21
Encode-Decode_Experiment-9-1,2356125,airport,there{SPACE}are{SPACE}two{SPACE}woman{SPACE}grabbing{SPACE}a{SPACE}colourful{SPACE}suitcase{SPACE}on{SPACE}to{SPACE}a{SPACE}conveyor{SPACE}belt{.}{SPACE}there{SPACE}are{SPACE}other{SPACE}suitcases{SPACE}already{SPACE}on{SPACE}this{.}{SPACE}there{SPACE}are{SPACE}two{SPACE}other{SPACE}airport{SPACE}workers{SPACE}on{SPACE}the{SPACE}left{SPACE}hand{SPACE}of{SPACE}the{SPACE}screen{.}{SPACE}everyone{SPACE}in{SPACE}the{SPACE}photo{SPACE}is{SPACE}wearing{SPACE}an{SPACE}airport{SPACE}uniform{.}{SPACE}{ENTER},57707,22
Encode-Decode_Experiment-9-1,2385550,tangerines,there{SPACE}are{SPACE}two{SPACE}children{.}{SPACE}the{SPACE}boy{SPACE}is{SPACE}on{SPACE}the{SPACE}left{SPACE}and{SPACE}a{SPACE}girl{SPACE}is{SPACE}on{SPACE}the{SPACE}right{.}{SPACE}the{SPACE}boy{SPACE}is{SPACE}blonde{.}{SPACE}they{SPACE}both{SPACE}have{SPACE}tangerines{SPACE}in{SPACE}their{SPACE}mouths{SPACE}sticking{SPACE}out{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}white{.}{ENTER},41118,23
Encode-Decode_Experiment-9-1,2369373,chef,a{SPACE}chef{SPACE}is{SPACE}using{SPACE}a{SPACE}pizza{SPACE}paddel{SPACE}to{SPACE}put{SPACE}a{SPACE}pizza{SPACE}into{SPACE}a{SPACE}pizza{SPACE}oven{.}{SPACE}the{SPACE}oven{SPACE}resembles{SPACE}the{SPACE}mouth{SPACE}of{SPACE}a{SPACE}dragon{SPACE}like{SPACE}thing{.}{SPACE}it{SPACE}is{SPACE}made{SPACE}of{SPACE}stone{.}{SPACE}there{SPACE}is{SPACE}fire{SPACE}in{SPACE}the{SPACE}oven{.}{ENTER},42207,24
Encode-Decode_Experiment-9-1,150472,pizza,there{SPACE}are{SPACE}two{SPACE}woman{SPACE}making{SPACE}biting{SPACE}gestures{SPACE}towards{SPACE}a{SPACE}slice{SPACE}of{SPACE}pizza{SPACE}with{SPACE}a{SPACE}bite{SPACE}in{SPACE}it{SPACE}at{SPACE}the{SPACE}tip{.}{SPACE}there{SPACE}are{SPACE}no{SPACE}toppings{SPACE}on{SPACE}the{SPACE}pizza{.}{SPACE}they{SPACE}are{SPACE}outside{.}{SPACE}{ENTER},37141,25
Encode-Decode_Experiment-9-1,2385851,suitcase,there{SPACE}are{SPACE}two{SPACE}men{SPACE}both{SPACE}carrying{SPACE}red{SPACE}suitcases{SPACE}on{SPACE}their{SPACE}backs{SPACE}through{SPACE}an{SPACE}airport{SPACE}terminal{.}{SPACE}the{SPACE}man{SPACE}of{SPACE}the{SPACE}right{SPACE}is{SPACE}holding{SPACE}the{SPACE}suitcase{SPACE}higher{SPACE}than{SPACE}the{SPACE}man{SPACE}on{SPACE}the{SPACE}left{.}{SPACE}both{SPACE}men{SPACE}are{SPACE}brown{.}{SPACE}{ENTER},42690,26
Encode-Decode_Experiment-9-1,2374670,spray-vehicle,a{SPACE}red{SPACE}truck{SPACE}with{SPACE}sprayers{SPACE}on{SPACE}the{SPACE}back{SPACE}is{SPACE}going{SPACE}through{SPACE}a{SPACE}field{.}{SPACE}there{SPACE}is{SPACE}a{SPACE}man{SPACE}holding{SPACE}onto{SPACE}the{SPACE}back{SPACE}of{SPACE}the{SPACE}truck{SPACE}while{SPACE}it{SPACE}moves{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{SPACE}the{SPACE}field{SPACE}is{SPACE}just{SPACE}dry{SPACE}mud{-}{SPACE}there{SPACE}is{SPACE}no{SPACE}grass{.}{SPACE}{ENTER},43889,27
Encode-Decode_Experiment-9-1,2383555,boat,there{SPACE}are{SPACE}a{SPACE}group{SPACE}of{SPACE}women{SPACE}on{SPACE}a{SPACE}wooden{SPACE}boat{.}{SPACE}a{SPACE}woman{SPACE}at{SPACE}the{SPACE}back{SPACE}is{SPACE}rowing{SPACE}and{SPACE}a{SPACE}woman{SPACE}is{SPACE}at{SPACE}the{SPACE}front{SPACE}holding{SPACE}a{SPACE}child{.}{SPACE}there{SPACE}is{SPACE}another{SPACE}girl{/}woman{SPACE}in{SPACE}the{SPACE}boat{SPACE}towards{SPACE}the{SPACE}middle{.}{SPACE}the{SPACE}boat{SPACE}is{SPACE}in{SPACE}the{SPACE}sea{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{ENTER},61786,28
Encode-Decode_Experiment-9-1,2349475,blender,a{SPACE}man{SPACE}is{SPACE}cycling{SPACE}on{SPACE}a{SPACE}bike{SPACE}attached{SPACE}to{SPACE}a{SPACE}blender{SPACE}that{SPACE}a{SPACE}woman{SPACE}is{SPACE}holding{.}{SPACE}the{SPACE}biker{SPACE}is{SPACE}wearing{SPACE}a{SPACE}helmet{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}holding{SPACE}the{SPACE}lid{SPACE}down{SPACE}on{SPACE}the{SPACE}blender{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}wearing{SPACE}yellow{SPACE}and{SPACE}green{SPACE}and{SPACE}has{SPACE}wavy{SPACE}hair{.}{SPACE}it{SPACE}is{SPACE}daytime{SPACE}and{SPACE}they{SPACE}are{SPACE}both{SPACE}outside{.}{ENTER},67794,29
Encode-Decode_Experiment-9-1,2379478,baby-milk,there{SPACE}are{SPACE}two{SPACE}babies{SPACE}holding{SPACE}milk{SPACE}bottles{SPACE}{ENTER},15577,30
